"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"1",27.195156678,0.2630906969,0.0365013604,4.9028422933,0.8914404664,0.15,0.1811038813,74755,0.6758297804,0.163,0.2493158226,9.0856186518,0.2173823339,0.17340837,0.1262287479,0.0131485077,0.1910192705,0.504081237,0.2000313707
"2",21.561301977,0.25126369,0.0259676576,5.212687998,0.8771539906,0.179,0.1447752596,59703,0.6160416166,0.218,0.3058752993,11.694729852,0.2190573825,0.1802679623,0.26430898,0.0071586285,0.0493177773,0.5137532379,0.4226276049
"3",9.3507647172,0.2909090909,0.0226958826,4.6376753942,0.9040260774,0.169,0.1523782151,70148,0.6414750147,0.157,0.2270250636,12.691429055,0.2322830034,0.1641091718,0.210110611,0.0047189545,0.0338191737,0.5129603909,0.406768132
"4",25.729421883,0.3614457831,0.0235004716,4.4824492469,0.9159931027,0.15,0.1642256356,71704,0.6568041849,0.161,0.1905128725,9.6533970764,0.2080386309,0.2192870331,0.0822488689,0.0081076146,0.0503621645,0.5123906913,0.3758645536
"5",NA,0.3142857143,0.0406504065,5.5767967895,0.7649222065,0.25,0.1227719794,41151,0.4045447519,0.377,0.5066045066,8.4121134434,0.2036347446,0.2062252085,0.4719501336,0.0072452036,0.0509997571,0.4712215656,0.6591999366
"6",22.385720895,0.1538461538,0.02509741,5.66923661,0.7886342229,0.22,0.14785821,54309,0.3899351163,0.255,0.3071337035,8.8979846065,0.1974551238,0.1780504431,0.2073619632,0.0057259714,0.0317655078,0.4648943422,1
"7",21.173589095,0.130952381,0.0222515119,4.6119463633,0.8175515104,0.196,0.1494611482,60553,0.5197596324,0.158,0.229694775,7.6218221236,0.2270466461,0.1909026751,0.0172738271,0.0063348568,0.1007023794,0.5029069767,0.9048939696
"8",NA,0.2692307692,0.0281071585,7.1458197788,0.7337898267,0.257,0.115288295,35798,0.3272864701,0.39,0.6304647952,5.8139534884,0.2110370516,0.1778082729,0.6733973731,0.0093118996,0.0935110763,0.4458929622,1
"9",17.290269037,0.2833333333,0.034189005,4.8787334497,0.8759234132,0.211,0.1282113141,41852,0.3917183348,0.33,0.3927727917,9.0023300148,0.2239678284,0.2153887399,0.4418766756,0.0047184987,0.0182841823,0.530080429,0.6943467535
"10",23.320487631,0.1047619048,0.0303207629,4.8759708167,0.8507177155,0.208,0.1353990576,52772,0.545473596,0.262,0.3271915817,13.623978202,0.2111790514,0.1860382769,0.2202646215,0.0053459771,0.0434500985,0.5135851729,0.3649401843
"11",14.901649116,0.25,0.0257327559,4.7377073171,0.8345745973,0.203,0.128128424,45563,0.5183391841,0.306,0.2532720691,17.66017197,0.2071990143,0.207257686,0.3927481812,0.0041950246,0.0359363999,0.5232046468,0.5074485218
"12",20.648891413,0.1111111111,0.0234268126,4.5207715832,0.8192517411,0.222,0.1435729023,52613,0.5343626436,0.227,0.2929164008,9.2014722356,0.1863884278,0.2443285116,0.0398782705,0.0081021263,0.020828393,0.4962058335,1
"13",20.134378332,0.2295081967,0.0226981151,4.0861086682,0.8216210918,0.217,0.1513195132,61823,0.4566417379,0.221,0.1948185559,15.461412731,0.2357030773,0.1753988318,0.0972452271,0.0063202859,0.0847354198,0.5083471363,0.8554449727
"14",NA,0.4285714286,0.0383899488,6.1801990885,0.823906319,0.223,0.1189185504,44458,0.5076985413,0.312,0.3859857482,21.543126147,0.1979258783,0.2450357746,0.4077498191,0.0023313771,0.0124608087,0.5243990674,1
"15",NA,0.3414634146,0.0500389914,5.7454198044,0.8139244458,0.215,0.1229034266,44906,0.4014711576,0.33,0.4140378549,16.695957821,0.2157672663,0.2100377526,0.4486786587,0.0063513213,0.0159449256,0.5243171219,1
"16",NA,0.4761904762,0.022675367,5.543084078,0.8333830697,0.212,0.1369788108,49599,0.4714003945,0.252,0.2030927835,11.275546159,0.208691365,0.214114664,0.1355824764,0.0061980561,0.0318354698,0.5092266516,1
"17",NA,0.2413793103,0.0241003094,4.3575475427,0.8254938852,0.207,0.1456899165,49248,0.4323644494,0.217,0.2324434127,8.6075614116,0.2289847517,0.1939919197,0.0286719666,0.0044311221,0.0261305878,0.5013684348,1
"18",12.519875302,0.2745098039,0.0253738945,5.0397424786,0.8662052741,0.185,0.1461507817,62429,0.6242159008,0.226,0.3214512041,12.367556392,0.237076909,0.1739804762,0.1637259374,0.0143782502,0.0905391844,0.5023994161,0.4753015992
"19",17.248968036,0.3103448276,0.0302826944,4.7146942367,0.8638178034,0.193,0.1467150571,54593,0.5553153153,0.268,0.3280127027,15.833246337,0.2106387745,0.206520428,0.1550324815,0.0068581669,0.0352213396,0.517722675,0.4029566463
"20",NA,0.125,0.0353606789,5.0479944354,0.8942973037,0.225,0.1185307636,36106,0.4679080824,0.439,0.5266047297,7.0621468927,0.2019453864,0.2465643405,0.444583259,0.0066928431,0.0333749777,0.5182937712,1
"21",NA,0.3181818182,0.0253420049,3.9541714725,0.8348863213,0.199,0.1335432294,49485,0.4096216721,0.312,0.3498190591,9.5693779904,0.1659453079,0.2594924257,0.2832972654,0.0080661027,0.0280346252,0.4969506197,1
"22",17.936737128,0.1956521739,0.0263331573,5.7847754349,0.857564185,0.218,0.1346851662,46958,0.5135297655,0.25,0.3351982486,12.258821021,0.2197223552,0.2247752779,0.1249933514,0.007978299,0.0214350301,0.5138024573,0.6881554432
"23",NA,0.3157894737,0.0262673582,5.9709578498,0.8207258417,0.209,0.1370330176,49161,0.4795613161,0.283,0.2718543046,11.465260261,0.2320153551,0.1982341651,0.2300191939,0.0077543186,0.0286372361,0.5106333973,1
"24",24.82746849,0.2456140351,0.0206421435,4.4246963886,0.8461313394,0.189,0.1576778918,61774,0.5932290691,0.183,0.1959985746,9.7211048538,0.2215187779,0.1910991011,0.0125517013,0.0067280649,0.0479898528,0.5007555286,0.7559920788
"25",12.883714307,0.2553191489,0.0262207866,5.001845108,0.8566212486,0.203,0.1517019983,50567,0.592920354,0.303,0.2953108535,10.133354951,0.2322178266,0.181596157,0.20902632,0.0090626514,0.0733489424,0.5096076215,0.5045209423
"26",9.0160756629,0.3035714286,0.0504763983,5.4872534873,0.8531019089,0.221,0.1120209413,35258,0.5282753776,0.468,0.5789356491,13.822802307,0.2337966111,0.2044496423,0.703701689,0.0031278048,0.0121848397,0.5330323388,0.4486246165
"27",24.187846537,0.2183908046,0.0234380017,4.8145645267,0.7772656815,0.222,0.141800813,50037,0.5079355952,0.237,0.2104403616,8.7727848718,0.236728798,0.1806161282,0.0146809634,0.0210422512,0.1599211089,0.5000555571,0.8829739694
"28",11.081604141,0.3333333333,0.0219438196,3.9245357089,0.885463421,0.168,0.1539945671,71463,0.5398543097,0.15,0.2500524769,10.077936039,0.2143072474,0.1673458906,0.2182597725,0.0048234204,0.0317988455,0.5121534562,0.7123680053
"29",44.702726866,0.306122449,0.0310589558,5.1267690819,0.8226699658,0.244,0.1300732396,47792,0.3422718009,0.264,0.393975759,13.896836426,0.2260404735,0.1880761468,0.3042873507,0.0378006873,0.0265368461,0.4991545301,0.6528280328
"30",22.092195932,0.1609195402,0.0302744818,4.7287207339,0.8611840748,0.194,0.1406023583,55487,0.540306868,0.253,0.3312194238,14.927977356,0.214137436,0.1992957473,0.151142713,0.0070522272,0.0477359149,0.5132217135,0.4316968947
"31",41.075352735,0.2727272727,0.0273099681,5.6275013974,0.8374168708,0.227,0.136340059,49205,0.4556280125,0.275,0.2791036088,8.0505325737,0.2116887951,0.2202506514,0.1105596228,0.0047152252,0.0203499193,0.5076932622,1
"32",18.970932316,0.1578947368,0.0234809475,4.6492194674,0.8009929277,0.218,0.1406186384,49611,0.4173166927,0.243,0.3007832239,7.8093274607,0.2453025179,0.1761242641,0.0383627709,0.0181635976,0.192189653,0.5000626331,0.6904991748
"33",16.376302231,0.275,0.0239637881,4.6932177808,0.8340006322,0.222,0.1345212637,51585,0.4978971207,0.254,0.1957490573,8.9884273997,0.2187208304,0.2117014524,0.0892357092,0.0127319568,0.0489862973,0.5080088116,0.9944108931
"34",NA,0.380952381,0.0437956204,5.4263142566,0.8188658469,0.267,0.0944384686,35449,0.5453010692,0.465,0.6597877358,7.8647267007,0.2184047427,0.2510105093,0.7900835354,0.0051199138,0.0218270008,0.5354351927,1
"35",NA,0.4782608696,0.0389196444,6.5380993771,0.8057114228,0.229,0.1158098415,44702,0.5007359435,0.325,0.4912891986,6.7778229633,0.238643371,0.2026036314,0.5690990065,0.0032887975,0.0161699212,0.5245632066,1
"36",NA,0.3076923077,0.0270806749,5.8504619537,0.8153013295,0.195,0.134065572,56702,0.4576567574,0.226,0.3081527936,13.17372129,0.2028320589,0.2365902011,0.24038516,0.0056074766,0.0269612008,0.5139620504,1
"37",12.503125781,0.2317073171,0.0259166667,5.1890754421,0.8761504467,0.196,0.1388835136,56842,0.5838624633,0.266,0.3313509966,11.074094065,0.2256405037,0.1880938943,0.2729669964,0.0059215944,0.0389529881,0.5197031801,0.3431652395
"38",NA,0.2153846154,0.0251455683,4.7006221209,0.8203474077,0.216,0.1400061961,51965,0.5118456859,0.209,0.2704797048,8.3375968772,0.2042691573,0.2103004292,0.0330680078,0.0152388875,0.034826341,0.5062108865,0.7530953422
"39",40.772353519,0.1299790356,0.0258189242,5.4576141313,0.9106339245,0.164,0.1472040231,61996,0.694908084,0.214,0.3590291709,13.910934084,0.2250059738,0.1709835605,0.4335889656,0.0028929576,0.0440045145,0.5252408669,0.1207091524
"40",NA,0.1739130435,0.0270789658,5.2927909157,0.8206994138,0.217,0.1381154458,51523,0.4760383387,0.225,0.1820885658,8.7661626123,0.2176577891,0.2254651587,0.1009120759,0.0044509303,0.0211601605,0.5055089383,1
"41",12.493753123,0.1447368421,0.0263519653,4.8411283063,0.887878694,0.185,0.1533118477,59023,0.5553810624,0.188,0.2610823892,13.929798071,0.1919731325,0.2078057531,0.0998143474,0.0050167922,0.0318842696,0.5182106427,0.5216322517
"42",NA,0.2,0.0240890276,4.4335670103,0.826646222,0.218,0.143979373,55516,0.5076155126,0.224,0.1999442276,10.275007555,0.216535196,0.1915156259,0.1005600048,0.0577166255,0.0284819654,0.5097850304,0.9999395277
"43",10.420947284,0.2842105263,0.0235446606,6.5522357091,0.9171211385,0.159,0.1624214282,59637,0.7742582551,0.13,0.2504728748,8.1820131138,0.2059323018,0.1361099279,0.2272352619,0.0036012015,0.0404761773,0.5065524166,0.2638988527
"44",4.8597161926,0.2820512821,0.020957898,4.4445263437,0.8732670015,0.168,0.1512953104,83159,0.6522507868,0.138,0.1794715536,8.2777607262,0.2173669973,0.1589630298,0.1401262399,0.008845807,0.0668440036,0.4966456267,0.5101284156
"45",NA,0.2368421053,0.0519110097,6.4877384196,0.8332622601,0.233,0.1065210943,42268,0.4775233249,0.461,0.5337505588,6.0210737582,0.2175513961,0.2054822543,0.7230234223,0.0034775494,0.0180014319,0.5198936279,1
"46",NA,0.2777777778,0.0380310354,5.5258989589,0.8271885522,0.201,0.1158943914,36601,0.4847963282,0.465,0.5399554282,6.8801270177,0.1675847915,0.2152192698,0.7876431195,0.0034024627,0.0254914668,0.5435299201,0.5390640999
"47",26.926391611,0.3228699552,0.0212918672,4.9783113622,0.9222461233,0.138,0.1395268543,80426,0.7577131697,0.139,0.2581081081,10.247690474,0.2120253243,0.1599890972,0.2471423439,0.0074164013,0.0559191208,0.5061737267,0.1710227668
"48",NA,0.21875,0.0341610826,6.2871724855,0.8910517812,0.208,0.1171105012,45587,0.5817916261,0.341,0.492183908,14.213518636,0.2225660176,0.2059749266,0.5106961856,0.0028274206,0.0328620966,0.5250466791,0.6777415515
"49",11.279297976,0.3333333333,0.0249130939,4.8015848191,0.8062063988,0.22,0.1455348578,47742,0.5743327126,0.23,0.1751990899,8.8901046297,0.2096309507,0.2149128824,0.0397173824,0.0051790369,0.0292564138,0.5038757031,1
"50",23.630784405,0.2093023256,0.0205217315,4.7454476956,0.8436648973,0.196,0.1497797472,53388,0.5184410484,0.218,0.2653251275,9.0605529991,0.2548806614,0.1739335969,0.0266336763,0.0119288293,0.1600736248,0.5047524215,0.5365119043
"51",21.065392305,0.3315508021,0.0324420733,5.2252940907,0.881336916,0.189,0.1517318775,54315,0.578623953,0.272,0.3558456714,11.111837375,0.2308591652,0.1746404447,0.3640447144,0.0094212357,0.0318999735,0.5214128937,0.2239633181
"52",NA,0.1923076923,0.0409589041,5.3788335402,0.8369446268,0.233,0.1251311235,47498,0.449377897,0.319,0.3935052531,14.250814332,0.2092352092,0.2194908266,0.4115130901,0.013863121,0.0184498042,0.5212327355,0.7833299616
"53",11.937060742,0.3179190751,0.0307604751,5.347850337,0.8796767079,0.176,0.1451341132,56862,0.6429278106,0.272,0.450009344,14.026047117,0.2370726406,0.1636677696,0.605280945,0.0031940131,0.0405458537,0.5296142003,0.1236405566
"54",19.546843598,0.2,0.020914173,4.7634663104,0.8523104838,0.189,0.1445401068,62260,0.5797361513,0.172,0.2558297568,11.158909338,0.2281279436,0.1848387019,0.1306245019,0.0112550418,0.0914009226,0.5044400254,0.3843754304
"55",NA,0.625,0.0525462212,3.6528523596,0.795822356,0.265,0.1064852865,33585,0.2859033752,0.612,0.5853794643,8.3782166367,0.2092097075,0.2148102054,0.6887367766,0.0037336652,0.0150591164,0.5319228376,1
