"","premature_death_raw_value","poor_or_fair_health_raw_value","poor_physical_health_days_raw_value","poor_mental_health_days_raw_value","low_birthweight_raw_value","adult_smoking_raw_value","adult_obesity_raw_value","food_environment_index_raw_value","physical_inactivity_raw_value","access_to_exercise_opportunities_raw_value","excessive_drinking_raw_value","alcohol_impaired_driving_deaths_raw_value","sexually_transmitted_infections_raw_value","teen_births_raw_value","uninsured_raw_value","primary_care_physicians_raw_value","dentists_raw_value","mental_health_providers_raw_value","preventable_hospital_stays_raw_value","mammography_screening_raw_value","flu_vaccinations_raw_value","high_school_completion_raw_value","some_college_raw_value","unemployment_raw_value","children_in_poverty_raw_value","income_inequality_raw_value","children_in_single_parent_households_raw_value","social_associations_raw_value","injury_deaths_raw_value","air_pollution_particulate_matter_raw_value","drinking_water_violations_raw_value","severe_housing_problems_raw_value","driving_alone_to_work_raw_value","long_commute_driving_alone_raw_value","life_expectancy_raw_value","premature_age_adjusted_mortality_raw_value","child_mortality_raw_value","infant_mortality_raw_value","frequent_physical_distress_raw_value","frequent_mental_distress_raw_value","diabetes_prevalence_raw_value","hiv_prevalence_raw_value","food_insecurity_raw_value","limited_access_to_healthy_foods_raw_value","drug_overdose_deaths_raw_value","insufficient_sleep_raw_value","uninsured_adults_raw_value","uninsured_children_raw_value","other_primary_care_providers_raw_value","high_school_graduation_raw_value","disconnected_youth_raw_value","reading_scores_raw_value","math_scores_raw_value","school_segregation_raw_value","school_funding_adequacy_raw_value","gender_pay_gap_raw_value","median_household_income_raw_value","living_wage_raw_value","children_eligible_for_free_or_reduced_price_lunch_raw_value","residential_segregation_black_white_raw_value","child_care_cost_burden_raw_value","child_care_centers_raw_value","homicides_raw_value","suicides_raw_value","firearm_fatalities_raw_value","motor_vehicle_crash_deaths_raw_value","juvenile_arrests_raw_value","voter_turnout_raw_value","census_participation_raw_value","traffic_volume_raw_value","homeownership_raw_value","severe_housing_cost_burden_raw_value","broadband_access_raw_value","population_raw_value","x_below_18_years_of_age_raw_value","x_65_and_older_raw_value","x_non_hispanic_black_raw_value","x_american_indian_or_alaska_native_raw_value","x_asian_raw_value","x_native_hawaiian_or_other_pacific_islander_raw_value","x_hispanic_raw_value","x_non_hispanic_white_raw_value","x_not_proficient_in_english_raw_value","x_female_raw_value","x_rural_raw_value"
"1","9317.1352843","0.161","3.5288063772","5.1709340862","0.0827415771","0.18","0.367","6.8","0.251","0.7651310259","0.1816353013","0.1833635539","510.7","20.180871493","0.0890779494","0.0006560402","0.0005949038","0.0019980866","3135","0.45","0.5","0.8999900929","0.6311070104","0.0299070247","0.154","4.3182778118","0.2406069878","11.785215513","90.214942993","8.8","0.2934782609","0.1215339811","0.786896635","0.322","75.632943731","452.74215237","61.88985143","6.970938061","0.106453062","0.1656588373","0.108","217","0.107","0.0865498861","33.661593413","0.3586139751","0.1015458739","0.0588861428","0.0012951781","0.88344555","0.0613586636","3.135542943","3.228965303","0.2508051821","-1414.6","0.7736034419","66768","","0.4432669178","68.300304953","0.2513592521","3.5608444004","7.4470330044","15.599913933","15.930772074","12.95395721","13.137118148","0.6147998228","","86.884938953","0.7011489315","0.1098881452","0.867291027","6833037","0.2297547928","0.1691309443","0.0988468232","0.0044390218","0.0282189311","0.0007554474","0.0792837797","0.7703857011","0.0135404395","0.5030777676","0.2882372602"
"2","9026.4812098","0.196","4.3163769098","5.6109528616","0.0666097353","0.227","0.395","8.2","0.292","0.5587980675","0.1573314226","0.1428571429","183.5","19.706078824","0.1297281127","0.0003893106","0.0003881557","0.0003881557","2442","0.39","0.41","0.8669987431","0.4964203529","0.0220197418","0.178","3.26499468","0.1031646701","14.460109563","66.590563166","9.1","1","0.1634692246","0.7553881428","0.212","76.591729833","409.69609041","93.148416477","9.3916755603","0.133","0.187","0.114","21.6","0.101","0.0474625398","16.732201121","0.353","0.1437473595","0.1059903879","0.0006654098","0.9474043716","0.1933333333","2.968854401","2.993922255","0.0319859785","-1667.160333","0.8546841547","60620","","0.362036156","","0.2478719894","2.7624309392","","7.5674905299","","16.873162031","9.7872340426","0.5877559462","0.752","34.809236756","0.8220908576","0.0803052928","0.7560936108","36068","0.310275036","0.1653820561","0.0062936675","0.0041588111","0.0041033603","0.0003327049","0.0472163691","0.9309637352","0.0102922257","0.4983919264","0.7084252562"
"3","9077.1760719","0.164","3.7688206628","5.2148765454","0.0890180064","0.175","0.384","7.5","0.241","0.8505176306","0.1681819886","0.3298969072","582.8","22.226458681","0.0976978761","0.0007385334","0.000689745","0.0023144777","2985","0.44","0.52","0.9011143499","0.6695551704","0.0286466717","0.142","4.0398014824","0.2561771729","11.013669302","87.919752286","8.9","1","0.1087082186","0.8055987558","0.197","76.019366808","425.45064924","67.14863948","7.3154087621","0.11","0.162","0.111","189.2","0.099","0.1208793369","32.953828122","0.333","0.1126815965","0.0642617319","0.002273604","0.9031664175","0.0607828378","3.106149185","3.066706815","0.1414413962","146.3695","0.7729050569","65967","","0.4880018835","56.147829539","0.2762138645","4.3057863726","10.503659976","14.589435384","15.856108711","10.427821275","26.789838337","0.6331473507","0.728","81.086053344","0.6948385865","0.1009669908","0.8943355478","391449","0.2511182811","0.1571366896","0.1140812724","0.0046340647","0.0547964103","0.0011878942","0.0837171637","0.7144506692","0.0208197607","0.5065794011","0.1291870995"
"4","8483.3645338","0.15","3.4119945024","4.513446551","0.078458362","0.164","0.364","7.6","0.24","0.7064397626","0.1627421641","0.1282051282","363.7","23.253156602","0.0865928335","0.0007881176","0.0007900407","0.001831458","2954","0.47","0.6","0.9182257575","0.6863313847","0.0236254199","0.133","4.1974758951","0.2108909378","10.548651106","84.959108916","6.9","0","0.1120553982","0.7680025744","0.212","76.890401571","413.82505412","59.040761279","7.593220339","0.103","0.154","0.1","87.8","0.104","0.1048615927","29.916115213","0.33","0.099673169","0.0559232941","0.0013526454","0.865119171","0.0821315082","3.113527848","3.240669777","0.0810051852","296.68975","0.7252482477","68910","","0.3995101912","47.247322581","0.3041938761","4.9580472921","2.5948953219","15.956159288","10.830481307","16.434337039","18.988764045","0.6352559607","0.717","66.638355622","0.7015225948","0.1084386594","0.8992768437","83540","0.2396097678","0.1715705051","0.0219535552","0.0050275317","0.0782738808","0.0010533876","0.0840435719","0.7946133589","0.0120282041","0.4946133589","0.3069409303"
"5","9747.4201686","0.193","4.2479628338","5.6280394293","0.07001321","0.228","0.413","8.1","0.299","0.4848033031","0.1583215928","0","309.8","16.78183613","0.1151320386","0.0002295157","0.0004587682","0.0004587682","2988","0.51","0.48","0.8856559469","0.6074400392","0.0241917251","0.144","3.7290506634","0.2136237257","6.8854716548","94.320090179","8.7","0","0.1135371179","0.8280933063","0.495","75.859727399","469.06447864","","","0.132","0.185","0.115","138.1","0.124","0.0110398681","","0.355","0.1278884462","0.0869179601","","0.925","","3.109259993","3.455380536","0.0194002804","1009.003","0.73713156","62248","","0.4947498456","","0.2550122092","1.7482517483","","26.519306983","","27.960526316","","0.640311284","0.656","10.353901732","0.7835232252","0.0816451811","0.850423605","8719","0.2420002294","0.1815575181","0.0095194403","0.0035554536","0.0027526092","0.0005734603","0.0625071683","0.9053790572","0.0094374311","0.4928317468","1"
"6","12327.048862","0.197","4.4788894325","5.6952980995","0.0719910011","0.24","0.409","7","0.319","0.4249504624","0.1471736486","0.4444444444","206.8","35.406264185","0.081839522","0.0006616492","0.0001677993","0.0003355986","1826","0.37","0.37","0.903941468","0.5581668625","0.0346193952","0.19","4.6108379229","0.2007532957","13.232983211","94.059156491","8.7","0","0.1038197845","0.7922506183","0.391","73.045068136","586.41105191","","","0.136","0.189","0.118","","0.144","0.0754380619","33.678538351","0.366","0.0942835932","0.0516618497","0.0004194983","0.875","","3.100925629","3.205086902","0.0068317291","-841.209","0.7935617816","54825","","0.462628866","51.005154639","0.252129503","6.4620355412","","","","17.860544866","","0.5791125541","0.648","40.140417923","0.756626506","0.1224793038","0.8393574297","11919","0.2214111922","0.2201526974","0.0091450625","0.0036076852","0.0062924742","0.0003355986","0.0223173085","0.9383337528","0","0.5078446178","0.4934775429"
"7","6676.6848232","0.116","3.0074140607","4.422194709","0.0659570756","0.131","0.343","9.2","0.204","0.8299299554","0.1820217807","0.1052631579","180.7","8.5111954956","0.0578325974","0.0021080874","0.0004854107","0.0014427485","2511","0.46","0.56","0.9499536413","0.8066778143","0.020176216","0.048","4.472797527","0.1422929238","10.814214532","71.987316243","10","0","0.0881099923","0.7450181778","0.396","78.009265331","335.32886945","46.040515654","4.2849491162","0.088","0.142","0.082","91.9","0.067","0.0246502842","31.39239543","0.32","0.0643274854","0.0440277212","0.0011056577","0.957737819","","3.525032338","3.675870475","0.0473175308","1777.6330667","0.7682898287","102805","","0.1604870814","40.723757051","0.2282573805","3.988477731","3.820739398","16.208478185","11.366418354","9.1273218952","17.34939759","0.8064482362","0.76","67.511934035","0.7993249008","0.0874144286","0.9280388738","74164","0.2509573378","0.1503290006","0.028234723","0.0033034896","0.0411655251","0.0004179926","0.0384822825","0.8736583787","0.0068985126","0.4982336444","0.2719171892"
"8","8709.0752618","0.147","3.5380972999","5.2320422064","0.0846774194","0.183","0.355","8.9","0.243","0.4854927302","0.1554561541","0.1052631579","186.5","12.756909993","0.0899255669","0.0003215021","0.0000642261","0.0008991651","2312","0.48","0.5","0.928847122","0.6330154554","0.0328324283","0.141","4.1119326158","0.2155009452","9.6450617284","96.021045709","8.3","0","0.1397174254","0.7807681525","0.573","77.470391207","390.8996039","","","0.108","0.167","0.094","94.4","0.09","0.0106109462","30.597080164","0.333","0.0972924391","0.0671641791","0.0003853565","0.925","","3.284411893","3.437459097","0.0292811757","1621.06","0.7040393427","74161","","0.4435912581","","0.2398430442","4.8859934853","","24.484815825","22.361065439","17.939082652","","0.726618123","0.602","5.4694587775","0.8560790274","0.0945136007","0.8685410334","15570","0.1649967887","0.2666024406","0.006807964","0.0048811818","0.0054592164","0.0001926782","0.0206807964","0.9475272961","0.0051747312","0.4971740527","1"
"9","6608.282165","0.162","3.8084745239","5.246525355","0.0701058201","0.193","0.402","9","0.261","0.618240914","0.1661556269","0.4285714286","234.8","18.116805721","0.0901248164","0.0000978282","0.0003891997","0.0007783994","2809","0.39","0.49","0.9031806081","0.5778599391","0.0287769784","0.126","3.6848140236","0.1540697674","12.228526707","76.165982492","9","1","0.08","0.8674889311","0.432","79.499226986","328.33385147","56.352459016","","0.114","0.171","0.098","28.8","0.086","0.0044185996","19.6950549","0.376","0.0982420725","0.0700596252","0.0007783994","0.9445876289","","3.245127882","3.273123645","0.0149348573","1574.9015","0.7567538362","64731","","0.4625250501","85.668157669","0.2577126879","2.7198549411","7.0961744524","13.433583173","11.870023245","14.90196635","11.904761905","0.6149611399","0.654","3.3742501949","0.7944019079","0.0592630765","0.7989205473","20555","0.2164923376","0.2072974945","0.0081731939","0.0046217465","0.0027730479","0.0002918998","0.0512770615","0.9261980054","0.0036278829","0.4882023838","0.9456810795"
"10","9045.6495475","0.197","4.1049335697","5.2755157011","0.0842558426","0.223","0.4","8.2","0.325","0.7404013731","0.1626664044","0.125","463.2","31.720160481","0.1123062112","0.000452573","0.000319659","0.0023974427","3217","0.46","0.44","0.8572196414","0.4410689813","0.0323842393","0.187","4.1343742607","0.278866588","11.447434976","90.143115452","8.7","0","0.1050167224","0.8268328118","0.242","75.607806979","449.78139678","95.37939805","10.147601476","0.129","0.177","0.117","94.7","0.112","0.0268531289","18.643465909","0.347","0.1301162897","0.0670878805","0.0011188066","0.9296551724","","2.956588372","2.993172244","0.1216505459","-1099.7232","0.7354881395","60452","","0.5203640161","86.486935384","0.2436643949","3.6297640653","","15.462259216","9.5445651655","15.87817658","12.75","0.5601916697","0.672","75.152290923","0.7474281897","0.0863608055","0.8111556446","37540","0.2243740011","0.1909962706","0.0197922216","0.0134256793","0.0203249867","0.0024507192","0.1767181673","0.7676611614","0.0301637138","0.4953915823","0.4620015844"
