"","premature_death_raw_value","poor_or_fair_health_raw_value","poor_physical_health_days_raw_value","poor_mental_health_days_raw_value","low_birthweight_raw_value","adult_smoking_raw_value","adult_obesity_raw_value","food_environment_index_raw_value","physical_inactivity_raw_value","access_to_exercise_opportunities_raw_value","excessive_drinking_raw_value","alcohol_impaired_driving_deaths_raw_value","sexually_transmitted_infections_raw_value","teen_births_raw_value","uninsured_raw_value","primary_care_physicians_raw_value","dentists_raw_value","mental_health_providers_raw_value","preventable_hospital_stays_raw_value","mammography_screening_raw_value","flu_vaccinations_raw_value","high_school_completion_raw_value","some_college_raw_value","unemployment_raw_value","children_in_poverty_raw_value","income_inequality_raw_value","children_in_single_parent_households_raw_value","social_associations_raw_value","injury_deaths_raw_value","air_pollution_particulate_matter_raw_value","drinking_water_violations_raw_value","severe_housing_problems_raw_value","driving_alone_to_work_raw_value","long_commute_driving_alone_raw_value","life_expectancy_raw_value","premature_age_adjusted_mortality_raw_value","child_mortality_raw_value","infant_mortality_raw_value","frequent_physical_distress_raw_value","frequent_mental_distress_raw_value","diabetes_prevalence_raw_value","hiv_prevalence_raw_value","food_insecurity_raw_value","limited_access_to_healthy_foods_raw_value","drug_overdose_deaths_raw_value","insufficient_sleep_raw_value","uninsured_adults_raw_value","uninsured_children_raw_value","other_primary_care_providers_raw_value","high_school_graduation_raw_value","disconnected_youth_raw_value","reading_scores_raw_value","math_scores_raw_value","school_segregation_raw_value","school_funding_adequacy_raw_value","gender_pay_gap_raw_value","median_household_income_raw_value","living_wage_raw_value","children_eligible_for_free_or_reduced_price_lunch_raw_value","residential_segregation_black_white_raw_value","child_care_cost_burden_raw_value","child_care_centers_raw_value","homicides_raw_value","suicides_raw_value","firearm_fatalities_raw_value","motor_vehicle_crash_deaths_raw_value","juvenile_arrests_raw_value","voter_turnout_raw_value","census_participation_raw_value","traffic_volume_raw_value","homeownership_raw_value","severe_housing_cost_burden_raw_value","broadband_access_raw_value","population_raw_value","x_below_18_years_of_age_raw_value","x_65_and_older_raw_value","x_non_hispanic_black_raw_value","x_american_indian_or_alaska_native_raw_value","x_asian_raw_value","x_native_hawaiian_or_other_pacific_islander_raw_value","x_hispanic_raw_value","x_non_hispanic_white_raw_value","x_not_proficient_in_english_raw_value","x_female_raw_value","x_rural_raw_value"
"1","8418.0769151","0.137","3.5803867877","4.8760267702","0.0763929784","0.153","0.318","8","0.199","0.7372823906","0.2443640974","0.4541832669","364.9","16.677398289","0.1049899913","0.0008331288","0.0007409604","0.0037546744","1846","0.44","0.41","0.9447625956","0.694440828","0.0263230197","0.138","4.4050404416","0.2037679421","13.692291113","99.283992469","4.6","0.3392857143","0.1407407407","0.7268719792","0.183","77.224599546","389.98671059","60.58144552","5.3150914147","0.1111687014","0.1599485439","0.076","76.9","0.085","0.0725080147","15.490409777","0.2973796487","0.1167418538","0.0741508565","0.0015406989","0.85106811","0.0776429117","3.088448928","3.029081658","0.2532075497","636.8231","0.7886710624","67915","","","80.601691798","0.2756068378","3.6416605972","4.1656067885","27.647087228","21.559981097","18.019608721","25.996186845","0.7327963875","","62.315342608","0.6902912031","0.1228244654","0.8661754337","1122867","0.2081751445","0.2004921331","0.0055260329","0.0645232249","0.0107617376","0.0009867598","0.0451691964","0.8528552357","0.0026780605","0.4925080174","0.4658147525"
"2","4038.905817","0.143","3.5298695053","5.0289445767","0.0563380282","0.17","0.338","8.4","0.232","0.7068615943","0.2087341797","0.3846153846","315","6.2604340568","0.1145908501","0.0014699706","0.000411565","0.0020578249","449","0.49","0.52","0.9429710256","0.7669389716","0.0232428412","0.162","4.902287364","0.1409749671","12.599748005","78.227409193","3.8","1","0.1640903686","0.7354683045","0.189","80.603466965","253.04912473","","","0.111","0.161","0.085","","0.083","0.0713740865","","0.32","0.1212734634","0.0911392405","0.0013375862","0.8649425287","","3.136610724","3.121720655","0.0506137559","1095.273","0.6951256272","57497","","","","0.2837365428","5.076142132","","25.483561033","21.142543025","","","0.7271676301","0.551","4.5837922562","0.6642317994","0.1658071171","0.8597516435","9719","0.1721370511","0.2364440786","0.0034983023","0.021915835","0.0063792571","0.0058648009","0.0574133141","0.8860993929","0.0002209701","0.4834859553","0.5273716786"
"3","24310.83204","0.231","4.7083567039","5.9271007805","0.0815508021","0.267","0.395","5.2","0.292","0.333053947","0.1859522389","0.6212121212","1296.6","56.334157736","0.1544158285","0.0005402485","0.0007003346","0.0010894094","4245","0.31","0.32","0.8930301399","0.5547297297","0.0438931298","0.261","4.9276078282","0.3039739716","6.174268735","202.91654678","4.9","0","0.2209944751","0.7051886792","0.287","65.047665368","963.56167993","152.278933","15.586034913","0.158","0.2","0.139","110.8","0.152","0.2366741312","","0.363","0.2002452698","0.0770756588","0.0014784842","0.6958737864","0.1305114638","","2.060239638","0.1178489293","-23732.71445","0.8807177044","49113","","","","0.333394417","0.9174311927","20.513484917","39.013472287","37.857564699","86.372568072","29.5","0.5451851852","0.314","6.6161775341","0.6659304252","0.0834607154","0.7683600221","12851","0.323943662","0.1350089487","0.0042798226","0.667341063","0.0076258657","0.0003112598","0.0659870827","0.256633725","0.0003316475","0.5027624309","1"
"4","20358.165766","0.203","4.5111071767","6.0258005214","0.0871559633","0.257","0.394","5.7","0.273","0.3791879614","0.2096945416","0.8333333333","573.1","35.267349261","0.1590544872","0.0005730659","0.0008650519","0.0021626298","1615","0.41","0.19","0.8911095796","0.6134311512","0.0314889789","0.224","5.4640713876","0.3002873563","7.1633237822","151.13798009","4.7","1","0.1916666667","0.6429964885","0.204","68.472899835","747.69335512","193.62186788","","0.142","0.191","0.119","90.8","0.15","0.1842022817","","0.336","0.1864510223","0.1065121413","0.0008650519","","","2.897053966","3.033458508","0.5745060239","-6156.60282","0.9360109056","53577","","","","0.2520484536","1.7699115044","","63.333465325","","34.099143259","","0.6667379679","0.455","3.741839584","0.6279172171","0.1246931762","0.7895200352","6936","0.2910899654","0.160899654","0.0050461361","0.5113898501","0.002739331","0.0001441753","0.0369088812","0.4312283737","0.0027726433","0.4871683968","1"
"5","5613.669583","0.14","3.5662867616","4.9597409084","0.0682819383","0.183","0.331","9.2","0.226","0.5093002657","0.2111084103","0.3333333333","96","13.798701299","0.1173515162","0.0001372119","0.0003849609","0.0006416014","1827","0.38","0.42","0.9332677165","0.7077259475","0.0335954253","0.1","4.2625686884","0.1582568807","5.4884742042","84.40137543","4.2","0","0.067761807","0.7715105163","0.342","80.288746913","272.88287313","","","0.11","0.164","0.08","0","0.061","0.0382074793","","0.299","0.1228701704","0.1009485095","0.0002566406","","","3.035774494","3.179340064","0.0183554624","1135.78","0.8424658756","67927","","","","0.2487817804","3.1446540881","","","","","","0.8438722966","0.605","12.324954846","0.8304317549","0.1296829971","0.7848189415","7793","0.1967150006","0.2385474143","0.0065443347","0.0153984345","0.0044912101","0.0011548826","0.0337482356","0.9231361478","0","0.4770948287","1"
"6","5974.3753359","0.121","3.2520845991","4.7866594375","0.0666666667","0.153","0.312","8.9","0.207","0.4636684809","0.20782917","0.4705882353","110.6","10.970927043","0.1125410043","0.0006453397","0.0006261741","0.0012523482","656","0.45","0.46","0.9582369414","0.6035874439","0.0264157459","0.114","4.4992842198","0.2454251884","12.906794505","109.45587444","3.9","1","0.1082872928","0.6949581468","0.412","81.263106987","295.83948038","","","0.1","0.152","0.072","104.1","0.078","0.0334145485","","0.316","0.119086728","0.0926501035","0.0002683603","","","3.078873648","3.025648899","0.0934876116","-1085.7057","0.7599310994","67062","","","","0.2926396469","2.7322404372","","34.56696995","24.117396063","20.061253695","","0.8064036592","0.459","5.2584999045","0.7380645161","0.1471181879","0.8316129032","11179","0.1738080329","0.2705966544","0.0088558905","0.0152965382","0.007335182","0.0007156275","0.0305930763","0.9263798193","0.0055490654","0.4839431076","1"
"7","","0.149","3.6958890558","4.9727433021","","0.183","0.344","5.2","0.242","0.1985865724","0.1960739496","0","","","0.1071428571","0","0","","3159","0.45","0.21","0.9426559356","0.7745098039","0.0205882353","0.144","4.553598089","0.1166666667","0","","4.2","0","0.1307692308","0.5262345679","0.34","","","","","0.115","0.169","0.083","0","0.098","0.3426815567","","0.307","0.1149110807","0.0849056604","0.002170767","","","","","","","0.9733078851","50597","","","","0.3380239935","","","","","","0","0.8228571429","0.398","0.2092952677","0.635451505","0.1369863014","0.8244147157","1382","0.2091172214","0.2821997106","0.002894356","0.008683068","0.000723589","0","0.013024602","0.9493487699","0","0.486251809","1"
"8","9106.6452176","0.147","3.8835935568","4.9563180067","0.0795146324","0.181","0.356","8","0.246","0.7778804464","0.2179721007","0.5471698113","375.1","22.502309621","0.1058917317","0.0007454651","0.0009544683","0.0038650075","2298","0.52","0.43","0.9336782365","0.646246491","0.0263104222","0.169","4.2355681735","0.2265520739","12.18776254","105.23238819","5","1","0.131242741","0.7969885645","0.12","76.165821528","448.40858034","54.439275463","5.6590752243","0.112","0.161","0.084","77.7","0.085","0.0986915678","15.775231269","0.31","0.122633192","0.0660569106","0.0019207202","0.8259503106","","3.19508582","3.085496757","0.0546533546","-2275.2008","0.8249371738","59184","","","67.016425742","0.285414977","8.3484573503","4.5252570259","29.366385478","21.923414206","14.794109508","50.632911392","0.6358201817","0.68","91.665351398","0.6801341932","0.1121999166","0.846863522","84864","0.2206942873","0.197775264","0.0143052413","0.0488664216","0.0118660445","0.0014258107","0.0545460973","0.8399321267","0.0009844632","0.4908323906","0.2051436965"
"9","8873.3967825","0.164","3.9107776357","5.2909463426","0.0802469136","0.196","0.336","6.7","0.25","0.327735369","0.1957380665","0.7333333333","135.2","","0.1429887175","","0.000169549","0.000847745","384","0.45","0.28","0.9232655063","0.5485584219","0.0228915663","0.241","4.3504171633","0.2130307467","8.4516565247","118.21974965","4.7","1","0.0847826087","0.6569138277","0.294","77.695022447","350.76291278","","","0.118","0.171","0.09","0","0.087","0.2246379579","","0.327","0.1548037025","0.1137071651","0.001525941","","","3.599222445","3.557478986","0.0784818618","1026.6396667","0.7504671472","51137","","","","0.2778809864","","","","","34.751526585","","0.6753986333","0.479","2.0817673595","0.6845238095","0.0780513358","0.7234432234","5898","0.2088843676","0.2293997965","0.001865039","0.1824347236","0.006103764","0.000678196","0.0318752119","0.7668701255","0","0.493726687","1"
"10","10237.762438","0.133","3.3828476538","4.6973242838","0.0691676436","0.164","0.343","8.3","0.223","0.8611274964","0.2176994105","0.3333333333","386","20.435362061","0.1068413076","0.0006713662","0.0005817819","0.0037400266","2528","0.39","0.38","0.9442890443","0.6214162349","0.0243180047","0.148","4.3065727531","0.1258078414","7.5528700906","94.963482225","4.7","1","0.1375387797","0.7229268293","0.105","75.820034066","430.62088825","93.475415966","","0.106","0.159","0.079","78","0.101","0.0454180351","","0.325","0.1129032258","0.0897009967","0.001662234","0.925","","2.98587629","2.925168093","0.0431243288","-1325.794","0.8180860531","64743","","","","0.2395316868","3.2573289902","","","","15.85829999","61","0.6457300275","0.595","49.348411178","0.6729383507","0.1199497593","0.8308646918","12032","0.1929022606","0.2060339096","0.0077293883","0.0274268617","0.0064827128","0.0004986702","0.0377327128","0.9011801862","0.0046585216","0.4997506649","0.2224656611"
