"","name","alcohol_impaired_driving_deaths","high_school_graduation","unemployment","median_household_income","children_in_single_parent_households","social_associations","drug_overdose_deaths","disconnected_youth","homicides","suicides","population","population_density","below_18_years_of_age","65_and_older","non_hispanic_black","american_indian_or_alaska_native","hispanic","female"
"1","Autauga County","0.2909090909","0.87","0.0226958826","70148","0.2270250636","12.691429055","9.3507647172","0.0724250519","6.6161632869","17.457479202",59759,100.527368663304,"0.2322830034","0.1641091718","0.210110611","0.0047189545","0.0338191737","0.5129603909"
"2","Baldwin County","0.3614457831","0.8865171392","0.0235004716","71704","0.1905128725","9.6533970764","25.729421883","0.0824827586","3.3882026693","18.790126177",246435,155.00397344555,"0.2080386309","0.2192870331","0.0822488689","0.0081076146","0.0503621645","0.5123906913"
"3","Barbour County","0.3142857143","0.8544097996","0.0406504065","41151","0.5066045066","8.4121134434","","","13.005813033","13.426810027",24706,27.9161323985347,"0.2036347446","0.2062252085","0.4719501336","0.0072452036","0.0509997571","0.4712215656"
"4","Bibb County","0.1538461538","0.88","0.02509741","54309","0.3071337035","8.8979846065","22.385720895","","9.5358580047","17.050220543",22005,35.35112726468,"0.1974551238","0.1780504431","0.2073619632","0.0057259714","0.0317655078","0.4648943422"
"5","Blount County","0.130952381","0.9791962775","0.0222515119","60553","0.229694775","7.6218221236","21.173589095","0.0973301791","5.9116795081","22.219251548",59512,92.2823130065822,"0.2270466461","0.1909026751","0.0172738271","0.0063348568","0.1007023794","0.5029069767"
"6","Bullock County","0.2692307692","0.825","0.0281071585","35798","0.6304647952","5.8139534884","","","19.470946566","",10202,16.3804658753392,"0.2110370516","0.1778082729","0.6733973731","0.0093118996","0.0935110763","0.4458929622"
"7","Butler County","0.2833333333","0.8","0.034189005","41852","0.3927727917","9.0023300148","17.290269037","","17.455434095","11.883738132",18650,24.0075631642622,"0.2239678284","0.2153887399","0.4418766756","0.0047184987","0.0182841823","0.530080429"
"8","Calhoun County","0.1047619048","0.9197126437","0.0303207629","52772","0.3271915817","13.623978202","23.320487631","0.0818697649","10.470133943","21.957144442",115788,191.103937341009,"0.2111790514","0.1860382769","0.2202646215","0.0053459771","0.0434500985","0.5135851729"
"9","Chambers County","0.25","0.8650172414","0.0257327559","45563","0.2532720691","17.66017197","14.901649116","0.1740216486","11.019096943","18.701803096",34088,57.1414864164466,"0.2071990143","0.207257686","0.3927481812","0.0041950246","0.0359363999","0.5232046468"
"10","Cherokee County","0.1111111111","0.92","0.0234268126","52613","0.2929164008","9.2014722356","20.648891413","","8.2891704751","23.149078643",25302,45.7107464415863,"0.1863884278","0.2443285116","0.0398782705","0.0081021263","0.020828393","0.4962058335"
"11","Chilton County","0.2295081967","0.89","0.0226981151","61823","0.1948185559","15.461412731","20.134378332","","5.1579127217","16.193261662",45884,66.2262805331923,"0.2357030773","0.1753988318","0.0972452271","0.0063202859","0.0847354198","0.5083471363"
"12","Choctaw County","0.4285714286","0.925","0.0383899488","44458","0.3859857482","21.543126147","","","","",12439,13.6171693538376,"0.1979258783","0.2450357746","0.4077498191","0.0023313771","0.0124608087","0.5243990674"
"13","Clarke County","0.3414634146","0.925","0.0500389914","44906","0.4140378549","16.695957821","","0.2258606213","10.795055864","17.681165547",22515,18.1804177327348,"0.2157672663","0.2100377526","0.4486786587","0.0063513213","0.0159449256","0.5243171219"
"14","Clay County","0.4761904762","0.825","0.022675367","49599","0.2030927835","11.275546159","","","","29.343209151",14198,23.5080860704334,"0.208691365","0.214114664","0.1355824764","0.0061980561","0.0318354698","0.5092266516"
"15","Cleburne County","0.2413793103","0.975","0.0241003094","49248","0.2324434127","8.6075614116","","","9.5411653579","19.060984585",15346,27.3984122858976,"0.2289847517","0.1939919197","0.0286719666","0.0044311221","0.0261305878","0.5013684348"
