"","alcohol_impaired_driving_deaths","uninsured","mental_health_providers","high_school_completion","some_college","unemployment","children_in_poverty","income_inequality","children_in_single_parent_households","social_associations","injury_deaths","severe_housing_problems","food_insecurity","drug_overdose_deaths","high_school_graduation","disconnected_youth","reading_scores","math_scores","school_segregation","school_funding_adequacy","gender_pay_gap","median_household_income","living_wage","children_eligible_for_free_or_reduced_price_lunch","residential_segregation_black_white","child_care_cost_burden","child_care_centers","homicides","suicides","firearm_fatalities","motor_vehicle_crash_deaths","juvenile_arrests","voter_turnout","census_participation","population","percent_below_18_years_of_age","percent_65_and_older","percent_non_hispanic_black","percent_american_indian_or_alaska_native","percent_asian","percent_native_hawaiian_or_other_pacific_islander","percent_hispanic","percent_non_hispanic_white","percent_not_proficient_in_english","percent_female","percent_rural"
"1","0.2630906969","0.1022854955","0.0031389771","0.8914404664","0.6758297804","0.0365013604","0.163","4.9028422933","0.2493158226","9.0856186518","80.005527999","0.1673889139","0.104","27.195156678","0.861605","0.069448414","3.053421","3.002972","0.2404407097","634.0391","0.8137495225","74755",NA,"0.5076028785","62.695922572","0.2707412471","6.8638668282","6.2756380015","13.942027509","12.983286471","12.035415035",NA,"0.6790952146","0.652","333287557","0.2173823339","0.17340837","0.1262287479","0.0131485077","0.0628704569","0.0026367861","0.1910192705","0.5887587517","0.040955371","0.504081237","0.2000313707"
"2","0.25126369","0.1169335051","0.0013509263","0.8771539906","0.6160416166","0.0259676576","0.218","5.212687998","0.3058752993","11.694729852","90.379698685","0.1308124681","0.148","21.561301977","0.9075805793","0.0801828751","2.885602535","2.72218766","0.2749319439","-7911.501","0.7448232257","59703",NA,"0.4917407981","57.393382221","0.2660406886","5.5092316855","12.131184127","16.234751745","23.226340034","20.588369126","12.262096774","0.6263600041",NA,"5074296","0.2190573825","0.1802679623","0.26430898","0.0071586285","0.0158869329","0.0010949302","0.0493177773","0.6471171567","0.0104749848","0.5137532379","0.4226276049"
"3","0.2909090909","0.1001856044","0.0003681454","0.9040260774","0.6414750147","0.0226958826","0.157","4.6376753942","0.2270250636","12.691429055","68.033478141","0.1537569573","0.133","9.3507647172","0.87","0.0724250519","3.12696818","2.91727955","0.0515393092","-3606.782","0.7461655149","70148",NA,"0.2799859715","29.38240388","0.1973399099","5.7263411694","6.6161632869","17.457479202","17.362710567","18.06721513","4.8387096774","0.6618207817","0.688","59759","0.2322830034","0.1641091718","0.210110611","0.0047189545","0.0117806523","0.0012215733","0.0338191737","0.7205107181","0.0036648553","0.5129603909","0.406768132"
"4","0.3614457831","0.1099706666","0.0011037393","0.9159931027","0.6568041849","0.0235004716","0.161","4.4824492469","0.1905128725","9.6533970764","77.507984659","0.1242786602","0.118","25.729421883","0.8865171392","0.0824827586","3.192380762","3.037911538","0.0909458578","-537.1533","0.722548599","71704",NA,"0.3699560761","39.543961115","0.2015229276","6.2318238471","3.3882026693","18.790126177","14.343431644","15.833331704","20.305676856","0.652909486","0.564","246435","0.2080386309","0.2192870331","0.0822488689","0.0081076146","0.0115608578","0.0006654899","0.0503621645","0.8297847303","0.0078665799","0.5123906913","0.3758645536"
"5","0.3142857143","0.1267763429","0.000283332","0.7649222065","0.4045447519","0.0406504065","0.377","5.5767967895","0.5066045066","8.4121134434","85.215853364","0.150751073","0.178",NA,"0.8544097996",NA,"2.389161313","2.00862944","0.0388895948","-23626.58","0.7774433388","41151",NA,"0.5656511906","19.078645391","0.2545989162","5.303030303","13.005813033","13.426810027","26.529463783","29.404446857",NA,"0.5402157165","0.545","24706","0.2036347446","0.2062252085","0.4719501336","0.0072452036","0.0046952157","0.0027928438","0.0509997571","0.4527240346","0.0198065994","0.4712215656","0.6591999366"
"6","0.1538461538","0.1137992832","0.0004998864","0.7886342229","0.3899351163","0.02509741","0.255","5.66923661","0.3071337035","8.8979846065","99.933080526","0.1225895317","0.149","22.385720895","0.88",NA,"2.688775131","2.56336673","0.0898022166","-6970.646","0.8088058161","54309",NA,"0.4899219766","32.0713632","0.2370141229","5.016722408","9.5358580047","17.050220543","20.521971894","24.793230812",NA,"0.5456354848","0.56","22005","0.1974551238","0.1780504431","0.2073619632","0.0057259714","0.0029084299","0.0013178823","0.0317655078","0.739968189","0.0028918176","0.4648943422","1"
"7","0.130952381","0.1281997789","0.0002688533","0.8175515104","0.5197596324","0.0222515119","0.158","4.6119463633","0.229694775","7.6218221236","97.729173191","0.1065786371","0.137","21.173589095","0.9791962775","0.0973301791","2.901714404","2.781496533","0.1047763317","-2788.999","0.8763786953","60553",NA,"0.4316380449","62.716405012","0.3471008868","4.9033746755","5.9116795081","22.219251548","18.238190771","30.543677459","6.7741935484","0.6418799442","0.667","59512","0.2270466461","0.1909026751","0.0172738271","0.0063348568","0.0043520634","0.00131066","0.1007023794","0.8599274096","0.0219519644","0.5029069767","0.9048939696"
"8","0.2692307692","0.1221464572","0.00019604","0.7337898267","0.3272864701","0.0281071585","0.39","7.1458197788","0.6304647952","5.8139534884","108.1740225","0.0962099125","0.156",NA,"0.825",NA,"2.110535605","1.96826778","0.0090371541","-38452.98","0.6714965293","35798",NA,"0.7581427581","34.584107148","0.3866975809","5.376344086","19.470946566",NA,"27.535205727","55.631275903","6.6666666667","0.590653009","0.488","10202","0.2110370516","0.1778082729","0.6733973731","0.0093118996","0.0031366399","0.0075475397","0.0935110763","0.2175063713","0.0176121237","0.4458929622","1"
"9","0.2833333333","0.1190345207","0.0008579088","0.8759234132","0.3917183348","0.034189005","0.33","4.8787334497","0.3927727917","9.0023300148","109.92284854","0.115037594","0.138","17.290269037","0.8",NA,"2.526134007","2.118341767","0.1212558709","-15080.51","0.7776982601","41852",NA,"0.7106252135","23.850909782","0.3416563127","4.5998160074","17.455434095","11.883738132","24.655592197","38.547416959","16","0.6291777188","0.558","18650","0.2239678284","0.2153887399","0.4418766756","0.0047184987","0.0150134048","0.000536193","0.0182841823","0.5076675603","0.0006693814","0.530080429","0.6943467535"
"10","0.1047619048","0.1321708558","0.0015804747","0.8507177155","0.545473596","0.0303207629","0.262","4.8759708167","0.3271915817","13.623978202","97.019321704","0.105676464","0.156","23.320487631","0.9197126437","0.0818697649","2.945480411","2.786958409","0.1895589264","-10277.2302","0.7586259223","52772",NA,"0.5117602205","46.056952239","0.2274691124","5.5092316855","10.470133943","21.957144442","26.571057476","21.688134596","30.884955752","0.5785633227","0.636","115788","0.2111790514","0.1860382769","0.2202646215","0.0053459771","0.008826476","0.001131378","0.0434500985","0.7020071165","0.0050429057","0.5135851729","0.3649401843"
"11","0.25","0.1262688232","0.0001173433","0.8345745973","0.5183391841","0.0257327559","0.306","4.7377073171","0.2532720691","17.66017197","94.64961783","0.1612665685","0.133","14.901649116","0.8650172414","0.1740216486","2.634106621","2.497681651","0.1316636213","-26351.235","0.7685251875","45563",NA,"0.6643502432","31.21146322","0.3342843974","5.8365758755","11.019096943","18.701803096","23.811224611","27.547742357",NA,"0.5852575148","0.583","34088","0.2071990143","0.207257686","0.3927481812","0.0041950246","0.0087714152","0.0009387468","0.0359363999","0.5445024642","0.0027055279","0.5232046468","0.5074485218"
"12","0.1111111111","0.1298407861","0.0005533159","0.8192517411","0.5343626436","0.0234268126","0.227","4.5207715832","0.2929164008","9.2014722356","103.57487923","0.0742962621","0.147","20.648891413","0.92",NA,"2.784754319","2.646747671","0.0571417872","-1664.026","0.8783388938","52613",NA,"0.5353016688","47.525912745","0.2200216676","5.5096418733","8.2891704751","23.149078643","25.507246377","32.05145917","23.47826087","0.5951136913","0.457","25302","0.1863884278","0.2443285116","0.0398782705","0.0081021263","0.004387005","0.0007114062","0.020828393","0.9103628172","0.0094907601","0.4962058335","1"
"13","0.2295081967","0.1450322024","0.0007845872","0.8216210918","0.4566417379","0.0226981151","0.221","4.0861086682","0.1948185559","15.461412731","93.559254944","0.1271878646","0.154","20.134378332","0.89",NA,"2.822341241","2.720820186","0.0711980639","-3359.531","0.7453218805","61823",NA,"0.5499158358","41.881672436","0.231289326","4.0590405904","5.1579127217","16.193261662","16.192947971","25.789563608","8.3673469388","0.5950693374","0.606","45884","0.2357030773","0.1753988318","0.0972452271","0.0063202859","0.0047293174","0.0017217331","0.0847354198","0.7967265278","0.0213994485","0.5083471363","0.8554449727"
"14","0.4285714286","0.127406932","0.0000803923","0.823906319","0.5076985413","0.0383899488","0.312","6.1801990885","0.3859857482","21.543126147","108.95998484","0.095684803","0.157",NA,"0.925",NA,"2.549412685","2.128404244","0.1405884235","-22098.77","0.5603081133","44458",NA,"0.7572633552","34.505302881","0.299068784","5.7142857143",NA,NA,NA,"43.580775291","15.454545455","0.7328424153","0.512","12439","0.1979258783","0.2450357746","0.4077498191","0.0023313771","0.002813731","0","0.0124608087","0.5649971863","0.0031711591","0.5243990674","1"
"15","0.3414634146","0.1227324263","0.0009327115","0.8139244458","0.4014711576","0.0500389914","0.33","5.7454198044","0.4140378549","16.695957821","95.17658656","0.1217158177","0.163",NA,"0.925","0.2258606213","3.008578223","2.777250911","0.0279928226","-14395.92","0.6535406264","44906",NA,"0.6950269623","18.597355223","0.3323832005","6.968641115","10.795055864","17.681165547","22.094564737","28.187090313","14.347826087","0.702970297","0.52","22515","0.2157672663","0.2100377526","0.4486786587","0.0063513213","0.0046191428","0.0003109038","0.0159449256","0.5148567622","0.0009705597","0.5243171219","1"
"16","0.4761904762","0.1324539212","0.0001408649","0.8333830697","0.4714003945","0.022675367","0.252","5.543084078","0.2030927835","11.275546159","113.13059141","0.0785645005","0.15",NA,"0.825",NA,"2.783569439","2.529710142","0.0158452088","-6581.203","0.8439558311","49599",NA,"0.5312157722","26.454336962","0.2500050404","8.064516129",NA,"29.343209151","23.816966612","38.206015325","6.6666666667","0.6641111644","0.553","14198","0.208691365","0.214114664","0.1355824764","0.0061980561","0.0027468658","0","0.0318354698","0.8034934498","0.0004456328","0.5092266516","1"
"17","0.2413793103","0.122548614","0.0005213085","0.8254938852","0.4323644494","0.0241003094","0.217","4.3575475427","0.2324434127","8.6075614116","118.87747606","0.0899742931","0.155",NA,"0.975",NA,"3.122187396","3.075677455","0.1091380919","-223.2246","0.7921342889","49248",NA,"0.4588796186","45.941117867","0.2517868746","8.0924855491","9.5411653579","19.060984585","28.049741542","34.348195289",NA,"0.6314547837","0.567","15346","0.2289847517","0.1939919197","0.0286719666","0.0044311221","0.0022807246","0.0008471263","0.0261305878","0.9227160172","0.0037211262","0.5013684348","1"
"18","0.2745098039","0.1249887681","0.0010582976","0.8662052741","0.6242159008","0.0253738945","0.226","5.0397424786","0.3214512041","12.367556392","73.236721575","0.1192982456","0.146","12.519875302","0.9200362319","0.1213852196","3.020489127","2.87277299","0.0764044824","-6093.076567","0.6584481145","62429",NA,"0.4630128781","42.18643936","0.1678226465","4.9813200498","7.1044851161","14.972810647","22.767892718","21.040205921","20.344827586","0.5721073584","0.587","54805","0.237076909","0.1739804762","0.1637259374","0.0143782502","0.0183377429","0.0043426695","0.0905391844","0.686415473","0.0166497986","0.5023994161","0.4753015992"
"19","0.3103448276","0.1072817133","0.000568642","0.8638178034","0.5553153153","0.0302826944","0.268","4.7146942367","0.3280127027","15.833246337","80.392807187","0.1091993577","0.149","17.248968036","0.9140359168",NA,"3.015519633","2.896152953","0.0667704265","-5102.991225","0.6999391582","54593",NA,"0.4134851818","25.88179164","0.2910629568","7.2281583909","4.9228154359","18.439376058","20.548834124","24.095886081","16.037735849","0.6482854818","0.662","58033","0.2106387745","0.206520428","0.1550324815","0.0068581669","0.0075129668","0.0006720314","0.0352213396","0.7745937656","0.0091476937","0.517722675","0.4029566463"
"20","0.125","0.11498754","0.0007139033","0.8942973037","0.4679080824","0.0353606789","0.439","5.0479944354","0.5266047297","7.0621468927","116.6822243","0.080697928","0.127",NA,"0.925",NA,"2.267557265","2.333427736","0.1632321737","-20956.34","0.7087520118","36106",NA,"0.7085261071","19.128761316","0.4133938958","3.937007874","18.810472731",NA,"33.33777837","28.215709096",NA,"0.6660806618","0.474","11206","0.2019453864","0.2465643405","0.444583259","0.0066928431","0.0037479921","0.0004461895","0.0333749777","0.4943780118","0","0.5182937712","1"
"21","0.3181818182","0.1141282959","0.0001967342","0.8348863213","0.4096216721","0.0253420049","0.312","3.9541714725","0.3498190591","9.5693779904","105.19987977","0.0921544209","0.127",NA,NA,NA,"2.481397373","2.3088048","0.0054238895","-14096.71","0.520596079","49485",NA,"0.6345177665","52.998668309","0.2505809841","4.3010752688","17.441002455",NA,"26.299969943","37.565236057","8.75","0.6170045045","0.376","10166","0.1659453079","0.2594924257","0.2832972654","0.0080661027","0.0020657092","0.0020657092","0.0280346252","0.6654534724","0","0.4969506197","1"
"22","0.1956521739","0.131951119","0.0007978299","0.857564185","0.5135297655","0.0263331573","0.25","5.7847754349","0.3351982486","12.258821021","100.22577742","0.1250416806","0.159","17.936737128","0.9501889169",NA,"2.934725219","2.668121746","0.0847154044","-8223.349","0.7486282991","46958",NA,"0.478388998","38.552252191","0.294795349","5.6603773585","6.1332290684","19.8489984","22.63162716","24.532916274","11.081081081","0.6034273845","0.572","37602","0.2197223552","0.2247752779","0.1249933514","0.007978299","0.0053720547","0.000239349","0.0214350301","0.8236529972","0.0007628196","0.5138024573","0.6881554432"
"23","0.3157894737","0.1364723897","0.0006909789","0.8207258417","0.4795613161","0.0262673582","0.283","5.9709578498","0.2718543046","11.465260261","101.12705369","0.0998003992","0.133",NA,"0.875","0.1907131012","2.79990848","2.553168923","0.0295429781","-8255.205","0.7750742469","49161",NA,"0.6408888889","23.661893899","0.2201541873","6.8870523416",NA,NA,"21.984142105","31.215208049","7.3333333333","0.6251299008","0.541","13025","0.2320153551","0.1982341651","0.2300191939","0.0077543186","0.0145105566","0.0008445298","0.0286372361","0.6952015355","0.0052812675","0.5106333973","1"
"24","0.2456140351","0.1214357784","0.0015992941","0.8461313394","0.5932290691","0.0206421435","0.183","4.4246963886","0.1959985746","9.7211048538","101.18497273","0.1088703324","0.144","24.82746849","0.9549832027","0.0965050733","3.119827164","2.99585269","0.0483589124","204.133","0.6877392479","61774",NA,"0.3618502475","79.867404961","0.265694305","4.7258979206","3.9085600865","21.580671139","17.453818141","24.301047494","10.705882353","0.6578277271","0.645","90665","0.2215187779","0.1910991011","0.0125517013","0.0067280649","0.0070258644","0.0009264876","0.0479898528","0.9139469476","0.007808834","0.5007555286","0.7559920788"
"25","0.2553191489","0.114615771","0.0013321492","0.8566212486","0.592920354","0.0262207866","0.303","5.001845108","0.2953108535","10.133354951","83.043292422","0.1221334708","0.161","12.883714307","0.9429130435","0.1080218778","2.898242053","2.746068748","0.0852824851","-7530.919667","0.7276343956","50567",NA,"0.6029531073","31.689279153","0.2071904602","4.0498442368","6.3870679294","22.946170213","25.64572266","23.8063441",NA,"0.5293108072","0.58","49544","0.2322178266","0.181596157","0.20902632","0.0090626514","0.013583885","0.0018569352","0.0733489424","0.6688196351","0.0090885484","0.5096076215","0.5045209423"
"26","0.3035714286","0.1075643592","0.0007071559","0.8531019089","0.5282753776","0.0504763983","0.468","5.4872534873","0.5789356491","13.822802307","123.64809646","0.1670992862","0.161","9.0160756629","0.7975593668","0.1746341463","2.482947088","2.2260336","0.2227589193","-30630.09","0.7008479934","35258",NA,"0.8113906768","53.712396942","0.3926201146","7.5093867334","38.578958887","14.061111827","45.638353198","34.86944361","16.5","0.621897302","0.518","36767","0.2337966111","0.2044496423","0.703701689","0.0031278048","0.0056028504","0.0004895695","0.0121848397","0.2672233253","0.0023861051","0.5330323388","0.4486246165"
"27","0.2183908046","0.1952981885","0.0005000139","0.7772656815","0.5079355952","0.0234380017","0.237","4.8145645267","0.2104403616","8.7727848718","102.7973161","0.1067703395","0.161","24.187846537","0.9325452352","0.1063986271","2.651262829","2.723096127","0.1650513428","-4147.9035","0.739441922","50037",NA,"0.6599009901","75.627006553","0.2313488019","2.8510334996","3.7998784039","23.535289401","17.598453571","24.199225625","7.5903614458","0.5885324779","0.525","71998","0.236728798","0.1806161282","0.0146809634","0.0210422512","0.0053057029","0.0060418345","0.1599211089","0.7879107753","0.0465887228","0.5000555571","0.8829739694"
"28","0.3333333333","0.1175237742","0.0002791331","0.885463421","0.5398543097","0.0219438196","0.15","3.9245357089","0.2500524769","10.077936039","70.392927072","0.1100855848","0.116","11.081604141","0.8947419355","0.1405453336","3.04220366","2.95007406","0.0817318632","-7384.6785","0.7923504143","71463",NA,"0.4220366539","30.969241064","0.1937086324","5.723630417","8.8006598769","18.334957201","21.382151909","17.428757795",NA,"0.6574793686","0.652","89563","0.2143072474","0.1673458906","0.2182597725","0.0048234204","0.0073467838","0.0011053672","0.0317988455","0.7218605898","0.0074901398","0.5121534562","0.7123680053"
"29","0.306122449","0.1350648399","0.0008454699","0.8226699658","0.3422718009","0.0310589558","0.264","5.1267690819","0.393975759","13.896836426","124.04247911","0.1156225831","0.171","44.702726866","0.8899130435","0.2626995646","2.881991581","2.714771458","0.1719273682","-9384.266","0.7645091951","47792",NA,"0.6539227399","34.358749816","0.3023518581","6.1553030303","13.882194158","24.057439776","22.305884401","24.293839776",NA,"0.5592267135","0.58","36666","0.2260404735","0.1880761468","0.3042873507","0.0378006873","0.003545519","0.0007909235","0.0265368461","0.6049200895","0.0035800901","0.4991545301","0.6528280328"
"30","0.1609195402","0.1313878446","0.0014453671","0.8611840748","0.540306868","0.0302744818","0.253","4.7287207339","0.3312194238","14.927977356","95.116137193","0.1056365278","0.15","22.092195932","0.9115891841","0.0567704882","3.010232137","2.782795678","0.2306877959","-9222.356667","0.7720845466","55487",NA,"0.5142602496","66.205649822","0.2019752374","5.4744525547","6.9572186709","19.791114854","21.245202775","21.56737788",NA,"0.6033881163","0.658","103088","0.214137436","0.1992957473","0.151142713","0.0070522272","0.0086139997","0.0033563557","0.0477359149","0.7710499767","0.0090344438","0.5132217135","0.4316968947"
"31","0.2727272727","0.1209799697","0.0001861273","0.8374168708","0.4556280125","0.0273099681","0.275","5.6275013974","0.2791036088","8.0505325737","102.95126973","0.0947832476","0.173","41.075352735","0.975",NA,"2.893179563","2.734799249","0.1064401362","-3383.665","0.647664733","49205",NA,"0.5614279091","53.461751303","0.2702164414","3.3185840708",NA,"22.374840716","18.384155309","23.499308076","5","0.6795348837","0.584","16118","0.2116887951","0.2202506514","0.1105596228","0.0047152252","0.005397692","0","0.0203499193","0.8429705919","0.0005824866","0.5076932622","1"
"32","0.1578947368","0.1484631961","0.0001565827","0.8009929277","0.4173166927","0.0234809475","0.243","4.6492194674","0.3007832239","7.8093274607","93.82528211","0.1093962778","0.146","18.970932316","0.9544800885",NA,"2.567992701","2.52922847","0.1746892916","-4702.0775","0.7423491156","49611",NA,"0.3816494845","67.777839871","0.3308338876","2.5951557093","4.975934571","13.257813395","12.679092177","30.307965114","16","0.5728991118","0.593","31932","0.2453025179","0.1761242641","0.0383627709","0.0181635976","0.0038832519","0.0022234749","0.192189653","0.7458348992","0.0423332098","0.5000626331","0.6904991748"
"33","0.275","0.1374738643","0.0002986969","0.8340006322","0.4978971207","0.0239637881","0.254","4.6932177808","0.1957490573","8.9884273997","96.88308936","0.1234626301","0.19","16.376302231","0.9569607843",NA,"3.05403059","2.868606676","0.0356878299","-5664.6145","0.8465769051","51585",NA,"0.542219995","23.033873009","0.209809053","4.8143053645","5.3905740422","19.251357468","15.894881848","27.491927615","15.185185185","0.614800294","0.567","26783","0.2187208304","0.2117014524","0.0892357092","0.0127319568","0.0046671396","0.0007467423","0.0489862973","0.8247769107","0.0057108864","0.5080088116","0.9944108931"
"34","0.380952381","0.1124954857","0.0001347346","0.8188658469","0.5453010692","0.0437956204","0.465","5.4263142566","0.6597877358","7.8647267007","89.345543891","0.1320754717","0.212",NA,"0.825",NA,"2.467139733","2.569736548",NA,"-46688.4","0.8720016011","35449",NA,"0.8537886873","28.896542844","0.37507405","1.8552875696",NA,NA,NA,"45.459313914","13.75","0.7414596273","0.42","7422","0.2184047427","0.2510105093","0.7900835354","0.0051199138","0.0036378335","0","0.0218270008","0.1711129076","0.0004188774","0.5354351927","1"
"35","0.4782608696","0.1244288225","0.0003425831","0.8057114228","0.5007359435","0.0389196444","0.325","6.5380993771","0.4912891986","6.7778229633","103.24263377","0.1548269581","0.164",NA,"0.925",NA,"2.781441538","2.586428052","0.2524612131","-14408.21","0.5875862347","44702",NA,"0.6919795222","25.955861854","0.2974363563","5.1072522983","17.368984783","13.771700212","36.678304104","27.018420773",NA,"0.6978798587","0.508","14595","0.238643371","0.2026036314","0.5690990065","0.0032887975","0.0036998972","0.0004110997","0.0161699212","0.4002055498","0.0016698127","0.5245632066","1"
"36","0.3076923077","0.120491927","0.0005097706","0.8153013295","0.4576567574","0.0270806749","0.226","5.8504619537","0.3081527936","13.17372129","97.399209211","0.0968726163","0.127",NA,"0.975",NA,"2.815581462","2.734985739","0.06748602","-5646.676","0.7961850114","56702",NA,"0.4348874598","29.547845324","0.1908751014","7.0588235294","8.2899492655","24.777505099","25.509316698","19.066883311",NA,"0.6877218935","0.507","17655","0.2028320589","0.2365902011","0.24038516","0.0056074766","0.0058906825","0.0001699235","0.0269612008","0.7034267913","0.0034036346","0.5139620504","1"
"37","0.2317073171","0.1243631796","0.0017764783","0.8761504467","0.5838624633","0.0259166667","0.266","5.1890754421","0.3313509966","11.074094065","74.859921208","0.1278119894","0.147","12.503125781","0.8940762463","0.0732724384","2.972277798","2.770071872","0.1733832373","-8717.0535","0.7167788899","56842",NA,"0.5505751964","45.592634072","0.1843179339","9.3673218673","8.9525879083","18.229127306","20.605382353","17.22694946","22.792792793","0.5784278108","0.623","108079","0.2256405037","0.1880938943","0.2729669964","0.0059215944","0.0122132884","0.0010825415","0.0389529881","0.6505149011","0.0053553653","0.5197031801","0.3431652395"
"38","0.2153846154","0.1382907455","0.0005482974","0.8203474077","0.5118456859","0.0251455683","0.209","4.7006221209","0.2704797048","8.3375968772","94.366511829","0.1041001719","0.166",NA,"0.9414104882","0.1055579492","3.058069377","2.727648275","0.107370985","-1940.8055","0.6689488674","51965",NA,"0.5381694383","53.947985599","0.2227653228","4.0620384047","4.9425700815","18.793091991","23.110166162","31.30294385","11.6","0.584398566","0.607","52891","0.2042691573","0.2103004292","0.0330680078","0.0152388875","0.0061636195","0.0014180106","0.034826341","0.885859598","0.0071592841","0.5062108865","0.7530953422"
"39","0.1299790356","0.1034112401","0.0024616439","0.9106339245","0.694908084","0.0258189242","0.214","5.4576141313","0.3590291709","13.910934084","115.02221662","0.1575056861","0.127","40.772353519","0.9078023046","0.0735149057","2.78853869","2.600071796","0.3461816651","-16854.82033","0.7945965766","61996",NA,"0.4935570068","64.084733492","0.331634299","7.2351055807","24.717972693","14.063507121","33.755202665","16.687878237","7.435508346","0.6601258065","0.641","665409","0.2250059738","0.1709835605","0.4335889656","0.0028929576","0.0189717903","0.0004884214","0.0440045145","0.4878803863","0.0103233825","0.5252408669","0.1207091524"
"40","0.1739130435","0.1191827469","0.0002188982","0.8206994138","0.4760383387","0.0270789658","0.225","5.2927909157","0.1820885658","8.7661626123","105.72355463","0.1136767318","0.168",NA,"0.925",NA,"3.088662981","3.050683052","0.0160767793","-3915.783","0.820969294","51523",NA,"0.5018083183","19.532418177","0.2580595074","6.157635468",NA,NA,"14.482678716","32.007599224","15","0.6703634669","0.557","13705","0.2176577891","0.2254651587","0.1009120759","0.0044509303","0.0012404232","0.0001459321","0.0211601605","0.8556001459","0.0005410001","0.5055089383","1"
"41","0.1447368421","0.1271455032","0.0018043764","0.887878694","0.5553810624","0.0263519653","0.188","4.8411283063","0.2610823892","13.929798071","79.773795061","0.1244969492","0.137","12.493753123","0.9614634146","0.0366248482","3.130774043","3.015394475","0.192259912","-2980.85849","0.7345534037","59023",NA,"0.4660239831","51.45467778","0.2692170849","5.904681569","6.3078961013","13.252680816","14.19156462","21.539157419","19.529411765","0.6044441415","0.671","95878","0.1919731325","0.2078057531","0.0998143474","0.0050167922","0.0106280899","0.0008135339","0.0318842696","0.8359999166","0.009079552","0.5182106427","0.5216322517"
"42","0.2","0.1493835026","0.0012946348","0.826646222","0.5076155126","0.0240890276","0.224","4.4335670103","0.1999442276","10.275007555","101.28762653","0.0908366534","0.15",NA,"0.92",NA,"2.863666439","2.740176195","0.0719400947","-2966.779","0.7800044328","55516",NA,"0.5545759866","69.227936494","0.2956444989","4.6975924839","6.0544205919","25.023155921","23.047483882","33.299313256",NA,"0.6257220921","0.635","33214","0.216535196","0.1915156259","0.1005600048","0.0577166255","0.0026494852","0.0003010779","0.0284819654","0.7636839887","0.0055470543","0.5097850304","0.9999395277"
"43","0.2842105263","0.1173011619","0.0012114641","0.9171211385","0.7742582551","0.0235446606","0.13","6.5522357091","0.2504728748","8.1820131138","63.778568483","0.1778363247","0.134","10.420947284","0.9054780999",NA,"3.101688832","2.998968313","0.0963409318","-5115.897","0.7856849807","59637",NA,"0.3821450972","32.233760202","0.2553951406","4.8076923077","8.6947448962","12.754336641","16.663949284","13.824644385","8.9308176101","0.5774823197","0.619","180773","0.2059323018","0.1361099279","0.2272352619","0.0036012015","0.0422961394","0.0009182787","0.0404761773","0.6706145276","0.0132621988","0.5065524166","0.2638988527"
"44","0.2820512821","0.1132955075","0.0005680794","0.8732670015","0.6522507868","0.020957898","0.138","4.4445263437","0.1794715536","8.2777607262","63.897635587","0.0993124523","0.119","4.8597161926","0.8935123043","0.0883304778","2.879799087","2.756358833","0.0798087077","-3144.2535","0.7177142684","83159",NA,"0.3941433411","40.786684298","0.1910797388","3.1347962382","6.582296256","14.696856169","18.628464293","18.869249267","8.7037037037","0.6695451146","0.592","110900","0.2173669973","0.1589630298","0.1401262399","0.008845807","0.020883679","0.0016501353","0.0668440036","0.7444815149","0.0098675194","0.4966456267","0.5101284156"
